afgekehlt	afgekElt	af+kElen	VERB.PPast.wk	1.0	dict/vocab.json
afgepackt	afgepakt	af+paken	VERB.PPast.wk	1.0	dict/vocab.json
Akker	aker	aker	NOUN.Masc.Acc	1.0	dict/vocab.json
Akker	aker	aker	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Akker	aker	aker	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
alldagdäglich	aldagdÄglix	al+dag+dÄglix	ADJ.Pos.Fem.Acc	1.0	dict/vocab.json
alldagdäglich	aldagdÄglix	al+dag+dÄglix	ADJ.Pos.Fem.Nom	0.9253731343283582	dict/vocab.json
alldagdäglich	aldagdÄglix	al+dag+dÄglix	ADJ.Pos.Masc.Nom	0.9253731343283582	dict/vocab.json
alldagdäglich	aldagdÄglix	al+dag+dÄglix	ADJ.Pos.Neut.Acc.wk	0.9054726368159204	dict/vocab.json
alldagdäglich	aldagdÄglix	al+dag+dÄglix	ADJ.Pos.Neut.Nom.wk	0.9104477611940298	dict/vocab.json
alldagdäglich	aldagdÄglix	al+dag+dÄglix	ADJ.Pos.Pl.Acc.wk	0.9054726368159204	dict/vocab.json
alldagdäglich	aldagdÄglix	al+dag+dÄglix	ADJ.Pos.Pl.Nom.wk	0.9054726368159204	dict/vocab.json
alldagdäglich	aldagdÄglix	al+dag+dÄglix	ADV	0.6965174129353234	dict/vocab.json
allto	altO	al+tO	ADV	1.0	dict/vocab.json
allebott	alebot	alebot	ADV	1.0	dict/vocab.json
allerhand	alerhand	aler+hand	ADV	1.0	dict/vocab.json
allerlei	alerlei	alerlei	ADV	1.0	dict/vocab.json
Amerika	amErika	amErika	PROPN.Neut.Acc	1.0	dict/vocab.json
Amerika	amErika	amErika	PROPN.Neut.Dat	0.5	dict/vocab.json
Amerika	amErika	amErika	PROPN.Neut.Nom	0.5	dict/vocab.json
Amtmänns	amtmans	amt+man	NOUN.Masc.Gen.arch	1.0	dict/vocab.json
Anfang	anfang	an+fang	NOUN.Masc.Acc	1.0	dict/vocab.json
Anfang	anfang	an+fang	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Anfang	anfang	an+fang	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
anfangen	anfangen	an+fängen	VERB.Inf	1.0	dict/vocab.json
angefang'	angefangen	an+fängen	VERB.PPast.wk	1.0	dict/vocab.json
anfangen	anfangen	an+fängen	VERB._.Pl.Ind.Prs	0.8654970760233918	dict/vocab.json
angepackt	angepakt	an+paken	VERB.PPast.wk	1.0	dict/vocab.json
Angst	angst	angst	NOUN.Fem.Acc	1.0	dict/vocab.json
Angst	angst	angst	NOUN.Fem.Dat	0.9361702127659575	dict/vocab.json
Angst	angst	angst	NOUN.Fem.Nom	0.9574468085106383	dict/vocab.json
Appel	apel	apel	NOUN.Masc.Acc	1.0	dict/vocab.json
Appel	apel	apel	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Appel	apel	apel	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
Ap'tit	aptIt	aptIt	NOUN.Masc.Acc	1.0	dict/vocab.json
Ap'tit	aptIt	aptIt	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Ap'tit	aptIt	aptIt	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
Arbeit	arbeit	arbeid	NOUN.Fem.Acc	1.0	dict/vocab.json
